Nom;Prenom;Conflit;Date deces;Departement de naissance;Nom departement de naissance
AHMED;Ben Bihi;1914-1918;05/05/1915;9350;Maroc
AHMED;Ben Bouchaeb;1914-1918;06/07/1918;9350;Maroc
AHMED;Ben L'Hassen;1914-1918;06/10/1915;9350;Maroc
AHMED;Ben Lambrouch;1914-1918;25/05/1917;9350;Maroc
AHMED;Ben Mohamed;1914-1918;06/10/1915;9350;Maroc
AHMED;Ben Mohamed;1914-1918;30/05/1915;9350;Maroc
AISSA;Ben Djilali;1914-1918;15/05/1915;9350;Maroc
ALI;Ben Abbou;1914-1918;13/09/1914;9350;Maroc
ALI;Ben Brahim;1914-1918;19/05/1916;9350;Maroc
ALI;Ben El Hasene;1914-1918;06/10/1915;9350;Maroc
ALI;Ben M'Barck;1914-1918;08/08/1918;9350;Maroc
ALI;Ben Mohamed;1914-1918;31/05/1915;9350;Maroc
ALI;Ben Mohamed;1914-1918;08/06/1915;9350;Maroc
ALI;Lakdar Ben Brahim;1914-1918;19/05/1915;9350;Maroc
ALI;Ould Brahim;1914-1918;15/12/1916;9350;Maroc
ALI;Ould Mohamed;1914-1918;12/05/1916;9350;Maroc
ALLAH;Ben Amara;1914-1918;31/08/1918;9350;Maroc
ALLAL;Ben Djillali;1914-1918;07/06/1917;9350;Maroc
ALLAL;Ben Mohamed;1914-1918;06/10/1915;9350;Maroc
BELKEIR;Ben Tahar;1914-1918;12/03/1915;9350;Maroc
BEN AeSSA;Aessa Ben Djilali;1914-1918;02/09/1914;9350;Maroc
BEN AeSSA;Ben Allal;1914-1918;17/04/1917;9350;Maroc
BOUCHAeB;Ben Abdallah;1914-1918;08/08/1918;9350;Maroc
BOUCHAeB;Ben Ahmed;1914-1918;05/09/1914;9350;Maroc
BOUCHAIB;Ben Ahmed;1914-1918;31/05/1915;9350;Maroc
BRAHIM;Ben Mohamed;1914-1918;06/10/1915;9350;Maroc
CHEICK;Ould Maezouz;1914-1918;25/02/1916;9350;Maroc
DRISS;Ben Embarck;1914-1918;19/07/1918;9350;Maroc
EL DJILALI;Ben Abdelkader;1914-1918;26/04/1918;9350;Maroc
EL HADDADI;Mohammed;1914-1918;19/05/1916;9350;Maroc
FATAH;Ben Bekkari;1914-1918;21/08/1918;9350;Maroc
FATHA;Ben Embark;1914-1918;16/04/1917;9350;Maroc
HAMADI;Ben Larbi;1914-1918;22/05/1916;9350;Maroc
HAMED;Ben Hadj;1914-1918;05/10/1918;9350;Maroc
HASSEN;Ben Bouchta;1914-1918;17/09/1914;9350;Maroc
HOMAD;Ben Brick;1914-1918;18/08/1918;9350;Maroc
HOUSSELINE;Ben Alifa;1914-1918;26/07/1918;9350;Maroc
KABBOUR;Ben Ahmed;1914-1918;;9350;Maroc
KADDOUR;Ben Matti;1914-1918;29/10/1916;9350;Maroc
KEROUM;Ben Mohamed;1914-1918;09/03/1916;9350;Maroc
KHAMAR;Ben Lachemi;1914-1918;18/04/1917;9350;Maroc
L'HASSEN;Ben Mohamed;1914-1918;12/09/1916;9350;Maroc
LACAVA;Salvador;1914-1918;02/11/1917;9350;Maroc
LACHEMI;Ben Lhassen;1914-1918;08/01/1915;9350;Maroc
LAHCENE;Ben Ahmed;1914-1918;21/07/1915;9350;Maroc
LAKDAR;Ben Bouazza;1914-1918;27/09/1918;9350;Maroc
LARBI;Ben Abbes;1914-1918;15/04/1917;9350;Maroc
LARBI;Ben Abdallah;1914-1918;28/06/1918;9350;Maroc
LARBI;Ben Allal;1914-1918;30/09/1915;9350;Maroc
LARBI;Ben Daoud;1914-1918;27/09/1918;9350;Maroc
LARBI;Ben M'Barek;1914-1918;20/03/1918;9350;Maroc
LARBI;Ben Mohamed;1914-1918;16/06/1918;9350;Maroc
LARBI;Ben Mohammed;1914-1918;13/10/1914;9350;Maroc
LASSENE;Ben Hamou;1914-1918;21/04/1917;9350;Maroc
LERICHE;Victor Charles Louis;1914-1918;08/08/1918;9350;Maroc
LHACEN;Ben Mohamed;1914-1918;12/11/1914;9350;Maroc
LHASSEN;Ben Djilali;1914-1918;31/08/1918;9350;Maroc
LHASSEN;Ben Mohamed;1914-1918;16/08/1918;9350;Maroc
M'AHMED;Ben Smaen;1914-1918;08/08/1918;9350;Maroc
M'HAMED;Ben Tahar;1914-1918;06/10/1915;9350;Maroc
M'SADDEK;Ben Liamani;1914-1918;15/10/1915;9350;Maroc
MAATI;Ben Mohamed;1914-1918;18/07/1919;9350;Maroc
MAHJOUB;Ben Abdesselem;1914-1918;18/04/1917;9350;Maroc
MEJDOUB;Ben Benselem;1914-1918;29/02/1916;9350;Maroc
MILOUD;Ben Mohamed;1914-1918;05/09/1914;9350;Maroc
MILOUD;Ould Elabdi;1914-1918;15/12/1916;9350;Maroc
MILOUDI;Ben Hamadi;1914-1918;01/08/1918;9350;Maroc
MIMOUN;Ben Messaoud Saed;1914-1918;27/06/1918;9350;Maroc
MOHAMED;Ben Ahmed;1914-1918;08/04/1915;9350;Maroc
MOHAMED;Ben Ahmed;1914-1918;09/07/1918;9350;Maroc
MOHAMED;Ben Aiet;1914-1918;16/03/1915;9350;Maroc
MOHAMED;Ben Ali;1914-1918;07/10/1914;9350;Maroc
MOHAMED;Ben Ali;1914-1918;26/07/1918;9350;Maroc
MOHAMED;Ben Aomar;1914-1918;13/01/1915;9350;Maroc
MOHAMED;Ben Bouchaeb;1914-1918;26/06/1918;9350;Maroc
MOHAMED;Ben Boumehdi;1914-1918;16/04/1917;9350;Maroc
MOHAMED;Ben Brick;1914-1918;30/09/1918;9350;Maroc
MOHAMED;Ben Cheikh;1914-1918;06/11/1915;9350;Maroc
MOHAMED;Ben Djelloul;1914-1918;01/03/1919;9350;Maroc
MOHAMED;Ben Embareck;1914-1918;19/06/1915;9350;Maroc
MOHAMED;Ben Kaddour;1914-1918;08/01/1915;9350;Maroc
MOHAMED;Ben Laoussine Ben Mohamed;1914-1918;28/08/1918;9350;Maroc
MOHAMED;Ben Lhassen;1914-1918;09/08/1918;9350;Maroc
MOHAMED;Ben Mohamed;1914-1918;19/07/1918;9350;Maroc
MOHAMED;Ben Tahar;1914-1918;12/07/1918;9350;Maroc
MOHAMED;El Hadj;1914-1918;05/05/1915;9350;Maroc
MOHAMED;Rehal;1914-1918;13/04/1917;9350;Maroc
MOHAMMED;Ben Bouazza;1914-1918;02/06/1916;9350;Maroc
MOHAMMED;Ben Taeeb;1914-1918;21/12/1914;9350;Maroc
MOHAMMED;Ben Tayeb;1914-1918;24/02/1916;9350;Maroc
MOKHTAR;Ben Taijbi;1914-1918;02/05/1916;9350;Maroc
MOKTAR;Ben Mohamed;1914-1918;12/05/1916;9350;Maroc
RAHAL;Ben Bouchaeb;1914-1918;16/03/1915;9350;Maroc
